,fire_location_latitude,fire_location_longitude,fire_spread_rate,temperature,relative_humidity,wind_speed,fire_origin_DND,fire_origin_Indian Reservation,fire_origin_Metis Settlement,fire_origin_National Park,fire_origin_Private Land,fire_origin_Provincial Land,fire_origin_Provincial Park,general_cause_desc_Agriculture Industry,general_cause_desc_Forest Industry,general_cause_desc_Government,general_cause_desc_Incendiary,general_cause_desc_Lightning,general_cause_desc_Oil & Gas Industry,general_cause_desc_Other Industry,general_cause_desc_Power Line Industry,general_cause_desc_Prescribed Fire,general_cause_desc_Railroad,general_cause_desc_Recreation,general_cause_desc_Resident,general_cause_desc_Restart,general_cause_desc_Under Investigation,general_cause_desc_Undetermined,activity_class_All Terrain Vehicles,activity_class_Ammunition,activity_class_Arson,activity_class_Brush,activity_class_Children,activity_class_Cooking,activity_class_Cooking and Warming,activity_class_Debris Disposal,activity_class_Flaring Gas,activity_class_Grass,activity_class_Heavy Equipment,activity_class_Lighting Fires,activity_class_OHV Operation,activity_class_Operations,activity_class_Piles,activity_class_Power Lines,activity_class_Power Saw,activity_class_Prescribed Fire,activity_class_Rail Transportation,activity_class_Refuse,activity_class_Refuse Disposal,activity_class_Restart,activity_class_Slash,activity_class_Structure Fire,activity_class_Traditional Burning,activity_class_Transportation,activity_class_Unclassified,activity_class_Vehicle Trans.,activity_class_Welders,activity_class_Windrows,true_cause_Abandoned Fire,true_cause_Animals,true_cause_Arson Known,true_cause_Arson Suspected,true_cause_Burning Substance,true_cause_Friction Spark,true_cause_High Hazard,true_cause_Hot Exhaust,true_cause_Incendiary Device,true_cause_Insufficient Buffer,true_cause_Insufficient Resources,true_cause_Line Impact,true_cause_Mechanical Failure,true_cause_Permit Related,true_cause_Unattended Fire,true_cause_Unclassified,true_cause_Unpredictable Event,true_cause_Unsafe Fire,true_cause_Vehicle Fire,true_cause_Winter Burning,fire_type_   Surface,fire_type_Crown,fire_type_Ground,fire_type_Surface,fire_position_on_slope_Bottom,fire_position_on_slope_Flat,fire_position_on_slope_Lower 1/3,fire_position_on_slope_Middle 1/3,fire_position_on_slope_Upper 1/3,weather_conditions_over_fire_CB Dry,weather_conditions_over_fire_CB Wet,weather_conditions_over_fire_Clear,weather_conditions_over_fire_Cloudy,weather_conditions_over_fire_Rainshowers,wind_direction_CLM,wind_direction_E,wind_direction_N,wind_direction_NE,wind_direction_NW,wind_direction_S,wind_direction_SE,wind_direction_SW,wind_direction_W,fuel_type_C1,fuel_type_C2,fuel_type_C3,fuel_type_C4,fuel_type_C7,fuel_type_D1,fuel_type_M1,fuel_type_M2,fuel_type_O1a,fuel_type_O1b,fuel_type_S1,fuel_type_S2
0,59.522139,-119.926971,3.0,28.8,37.0,11.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,52.692262,-116.11896,0.0,2.0,50.0,10.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,55.93705,-110.71995,0.5,16.0,19.0,15.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,56.425933,-111.16075,0.0,7.0,55.0,14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,53.69345,-116.058633,5.0,12.8,19.0,27.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,55.0109,-117.3798,0.0,21.0,30.0,20.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,53.598117,-115.958783,0.0,13.0,23.0,13.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,55.249612,-116.939285,0.0,5.0,90.0,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,54.27205,-116.01775,0.1,-3.0,90.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,55.678433,-112.2258,2.0,30.0,32.0,19.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
